Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PRO_REACTIONARY;PRO-REACTIONARY ;;;;PRO-REACCIONARIO;;;;;;;;x
EVTDESC60050_NEWS_SHORT;While the $COUNTRY_ADJ$ ruling party has not yet given up power, the recent reforms and call for new elections  has led to the dictatorship more and more taking on the trappings of a democracy.;;;;Si bien el partido gobernante $COUNTRY_ADJ$ aún no ha renunciado al poder, las reformas recientes y el llamado a nuevas elecciones han llevado a la dictadura a asumir cada vez más las trampas de una democracia.;;;;;;;;x
EVTNAME60060_NEWS_TITLE;The $COUNTRY_ADJ$ Constitution;;;;La Constitución de $COUNTRY_ADJ$;;;;;;;;x
EVTDESC60060_NEWS_LONG;The political reforms enacted in the past few years have led to a situation where the absolutism of the $COUNTRY_ADJ$ monarchy can now legitimately be called into question. No longer is the $COUNTRY_ADJ$ king free to dictate the course of the nation to his own musings, but instead has had to accept several constitutional hems and restrictions on his exercise of power. Some question the right of the monarch to override decisions by the newly-elected government, or even refuse to accept the results of an election entirely, but the fact that elections are being permitted at all is considered a sure sign of $COUNTRY$'s democratization.;;;;Las reformas políticas promulgadas en los últimos a?os han llevado a una situación en la que el absolutismo de la monarquía $COUNTRY_ADJ$ ahora puede ser legítimamente cuestionado. El rey de $COUNTRY_ADJ$ ya no es libre de dictar el curso de la nación según sus propios pensamientos, sino que ha tenido que aceptar varios dobladillos constitucionales y restricciones en su ejercicio del poder. Algunos cuestionan el derecho del monarca a anular las decisiones del gobierno recién elegido, o incluso se niegan a aceptar los resultados de una elección por completo, pero el hecho de que se permitan las elecciones se considera una se?al segura de la voluntad de $COUNTRY$. democratización.;;;;;;;;x
EVTDESC60060_NEWS_MEDIUM;The reforms enacted in the past few years have led to a situation where the $COUNTRY_ADJ$ monarchy no longer exerts absolute authority. No longer is the king free to dictate the course of the nation to his own musings, but instead has had to accept several constitutional hems and restrictions on his exercise of power.;;;;Las reformas promulgadas en los últimos a?os han llevado a una situación en la que la monarquía $COUNTRY_ADJ$ ya no ejerce autoridad absoluta. El rey ya no es libre de dictar el curso de la nación según sus propias reflexiones, sino que ha tenido que aceptar varios dobladillos y restricciones constitucionales en su ejercicio del poder.;;;;;;;;x
EVTDESC60060_NEWS_SHORT;Political reforms have led to a situation where the $COUNTRY_ADJ$ monarchy no longer exerts absolute authority. The king has accepted several constitutional restrictions on his exercise of power.;;;;Las reformas políticas han llevado a una situación en la que la monarquía de $COUNTRY_ADJ$ ya no ejerce autoridad absoluta. El rey ha aceptado varias restricciones constitucionales a su ejercicio del poder.;;;;;;;;x
EVTNAME60070_NEWS_TITLE;Democracy in $COUNTRY$;;;;Democracia en $COUNTRY$;;;;;;;;x
EVTDESC60070_NEWS_LONG;The sweeping reforms to the $COUNTRY_ADJ$ party system which have been enacted during the past few years have transformed $COUNTRY$ from an absolute monarchy into a democratically-ruled constitutional monarchy with a government responsible to the people. The $COUNTRY_ADJ$ monarch, now serving as a symbolic head-of-state, no longer has the power to personally control and determine the fate of the nation, but is instead forced to accept the mitigating influences of pluralism and limited democracy.;;;;Las amplias reformas al sistema de partidos de $COUNTRY_ADJ$ que se han promulgado durante los últimos a?os han transformado a $COUNTRY$ de una monarquía absoluta a una monarquía constitucional gobernada democráticamente con un gobierno responsable ante el pueblo. El monarca de $COUNTRY_ADJ$, que ahora actúa como jefe de estado simbólico, ya no tiene el poder de controlar y determinar personalmente el destino de la nación, sino que se ve obligado a aceptar las influencias mitigadoras del pluralismo y la democracia limitada.;;;;;;;;x
EVTDESC60070_NEWS_MEDIUM;The sweeping reforms to the $COUNTRY_ADJ$ party system which have been enacted during the past few years have transformed $COUNTRY$ from an absolute monarchy into a democratically-ruled constitutional monarchy with a government responsible to the people.;;;;Las amplias reformas al sistema de partidos de $COUNTRY_ADJ$ que se han promulgado durante los últimos a?os han transformado a $COUNTRY$ de una monarquía absoluta a una monarquía constitucional gobernada democráticamente con un gobierno responsable ante el pueblo.;;;;;;;;x
EVTDESC60070_NEWS_SHORT;The sweeping reforms to the $COUNTRY_ADJ$ party system which have been enacted during the past few years have transformed $COUNTRY$ from an absolute monarchy into a fully-democratic government responsible to the people.;;;;Las amplias reformas al sistema de partidos de $COUNTRY_ADJ$ que se han promulgado durante los últimos a?os han transformado a $COUNTRY$ de una monarquía absoluta a un gobierno totalmente democrático responsable ante el pueblo.;;;;;;;;x
EVTNAME60080_NEWS_TITLE;$COUNTRY_ADJ$ Voting Rights Rescinded;;;;$COUNTRY_ADJ$ Derechos de voto rescindidos;;;;;;;;x
EVTDESC60080_NEWS_LONG;Lately an eerie feeling has crept over citizens of $COUNTRY$ that their nation is growing oddly silent. Where before the free exchange of opinion and ideas could be heard, from street corners and bus stops to bars and universities, now only the sounds of silence gives echo. The conclusion that is becoming ever more evident, is that the tradition of $COUNTRY_ADJ$ democracy has been subverted. The ruling party has taken full control of $COUNTRY$ and transformed the nation into a dictatorship in all but name.;;;;Últimamente, los ciudadanos de $COUNTRY$ se han apoderado de una extra?a sensación de que su nación se está volviendo extra?amente silenciosa. Donde antes se escuchaba el libre intercambio de opiniones e ideas, desde las esquinas de las calles y las paradas de autobús hasta los bares y universidades, ahora solo los sonidos del silencio dan eco. La conclusión, cada vez más evidente, es que se ha subvertido la tradición de la democracia en $COUNTRY_ADJ$. El partido gobernante tomó el control total de $COUNTRY$ y transformó la nación en una dictadura en todo menos en el nombre.;;;;;;;;x
EVTDESC60080_NEWS_MEDIUM;Lately an eerie feeling has crept over citizens of $COUNTRY$ that their nation is growing oddly silent. The tradition of $COUNTRY_ADJ$ democracy has been subverted. The ruling party has taken full control of $COUNTRY$ and transformed the nation into a dictatorship in all but name.;;;;Últimamente, los ciudadanos de $COUNTRY$ se han apoderado de una extra?a sensación de que su nación se está volviendo extra?amente silenciosa. La tradición de la democracia de $COUNTRY_ADJ$ ha sido subvertida. El partido gobernante tomó el control total de $COUNTRY$ y transformó la nación en una dictadura en todo menos en el nombre.;;;;;;;;x
EVTDESC60080_NEWS_SHORT;According to recent reports, the tradition of $COUNTRY_ADJ$ democracy has been subverted. The ruling party has taken full control of $COUNTRY$ and transformed the nation into a dictatorship in all but name.;;;;Según informes recientes, la tradición de la democracia de $COUNTRY_ADJ$ ha sido subvertida. El partido gobernante tomó el control total de $COUNTRY$ y transformó la nación en una dictadura en todo menos en el nombre.;;;;;;;;x
EVTNAME11100_NEW;The Unification of $CULTURE_GROUP_UNION$;;;;La Unificación de $CULTURE_GROUP_UNION$;;;;;;;;x
EVTDESC11100_NEW;A rising tide of liberal nationalism within $CULTURE_GROUP_UNION$ has begun to spread, raising the idea of a $UNION_ADJ$ union with $COUNTRY$ at its head. A parliament of liberal revolutionaries has been convened, with representatives from throughout $UNION_ADJ$ lands, which has decreed the time is right for the nation to unite under one banner. The parliament has offered the crown of $CULTURE_GROUP_UNION$ to us. We could accept the offer, but doing so would cause international alarm, and require us to compensate the revolutionaries politically.;;;;Una ola creciente de nacionalismo liberal dentro de $CULTURE_GROUP_UNION$ ha comenzado a extenderse, planteando la idea de un sindicato $UNION_ADJ$ con $COUNTRY$ a la cabeza. Se ha convocado un parlamento de revolucionarios liberales, con representantes de todas las tierras de $UNION_ADJ$, que ha decretado que es el momento adecuado para que la nación se una bajo una sola bandera. El parlamento nos ha ofrecido la corona de $CULTURE_GROUP_UNION$. Podríamos aceptar la oferta, pero hacerlo causaría alarma internacional y requeriría que compensemos políticamente a los revolucionarios.;;;;;;;;x
