;;;;;;;x
EVTDESC36716_NEWS_MEDIUM;Belgian forces have consolidated their control over Amsterdam and proven their superiority in the war, and thus the Dutch government has little choice but to accept any terms they dictate. The Belgian government is said to be considering territorial demands.;;;;;;;x,
EVTDESC36716_NEWS_SHORT;Belgian forces have consolidated their control over Amsterdam and proven their superiority in the war, and thus the Dutch have little choice but to accept any terms they dictate.;;;;;;;x,
EVTDESC44302_NEWS_LONG;Although the Canadian government promised to respect the rights of the M�tis, it did not appear to do so. M�tis petitions for recognition of their land-holdings and institutions went unheeded. The M�tis also became increasingly upset with the growing numbers of settlers from the east, invading their territories. In early $YEAR$, the situation came to a head when the M�tis once again took up arms in revolt. Adopting the Revolutionary Bill of Rights, the M�tis established their own government and independence from Canada.;;;;;;;x
EVTDESC44302_NEWS_MEDIUM;Although the Canadian government promised to respect the rights of the M�tis, it did not appear to do so. In early $YEAR$, the situation came to a head when the M�tis once again took up arms in revolt. They established their own government and declared independence from Canada.;;;;;;;x
EVTDESC44302_NEWS_SHORT;In early $YEAR$, the situation came to a head when the M�tis once again took up arms in revolt. They established their own government and declared independence from Canada.;;;;;;;x,
EVTNAME44305_NEWS_TITLE;Canadian Rebellions of $YEAR$;;;;;;;x,,
EVTDESC44305_NEWS_LONG;Perhaps inspired by the American Revolution, colonists in both the Lower Canada and Upper Canada colonies have risen up in rebellion against the British government. They are frustrated by the lack of political reform, as well as the entrenched power held by the reactionary elites of the 'Family Compact', and agitators are demanding responsible government if not outright independence. The colonial government has moved to arrest the perpetrators as traitors to the crown.;;;;;;;x,
EVTDESC44305_NEWS_MEDIUM;Perhaps inspired by the American Revolution, colonists in both the Lower Canada and Upper Canada colonies have risen up in rebellion against the British government. The colonial government has moved to arrest the perpetrators as traitors to the crown.;;;;;;;x,
EVTDESC44305_NEWS_SHORT;Perhaps inspired by the American Revolution, colonists in both the Lower Canada and Upper Canada colonies have risen up in rebellion against the British government.;;;;;;;x,
EVTDESC44310_NEWS_LONG;A gathering of governors from the Maritime colonies in North America has also been attended by governors from Canada. According to reports, they are attempting to organize a larger confederation of the colonies with an eye towards eventual self-government. The British government would like to see their North American colonies be more self-reliant, so is considering whether it is in their best interests to allow this union.;;;;;;;x
EVTDESC44310_NEWS_MEDIUM;A gathering of governors from the Maritime colonies in North America has also been attended by governors from Canada. According to reports, they are attempting to organize a larger confederation of the colonies with an eye towards eventual self-government.;;;;;;;x,
EVTDESC44310_NEWS_SHORT;Governors from the Maritime and Canadian colonies in North America have gathered, attempting to organize a larger confederation with an eye towards eventual self-government.;;;;;;;x,
EVTNAME44320_NEWS_TITLE;The Rupert's Land Act;;;;;;;x,,
EVTDESC44320_NEWS_LONG;A bill has been passing through the British Parliament which would see the entirety of Rupert's Land -- all North American colonial territory between British Columbia and Ontario-- offered to the Canadian dominion. Currently the land is administered by the Hudson's Bay Company, and thus the Canadian government would be required to purchase it. Should they choose to do so, it would strengthen Canada greatly and relieve the overextended British colonial holdings.;;;;;;;x
EVTDESC44320_NEWS_MEDIUM;A bill has been passing through the British Parliament which would see the entirety of Rupert's Land -- all North American colonial territory-- offered to the Canadian dominion. It would strengthen Canada greatly and relieve the overextended British colonial holdings.;;;;;;;x,,
EVTDESC44320_NEWS_SHORT;A bill has been passing through the British Parliament which would see the entirety of Rupert's Land -- all North American colonial territory-- offered to the Canadian dominion.;;;;;;;x,,
EVTDESC44322_NEWS_LONG;A British act which would have seen Canada offered the rights to purchase all of Rupert's Land�British territory from Ontario all the way to Columbia--from the Hudson's Bay Company has been defeated. Canadian dreams of uniting the continent from the Atlantic to the Pacific have been dashed in one fell swoop. Citizens in $CAPITAL$ are outraged at this betrayal.;;;;;;;x,,
EVTDESC44322_NEWS_MEDIUM;A British act which would have seen Canada offered the rights to purchase all of Rupert's Land�British territory from Ontario all the way to Columbia--from the Hudson's Bay Company has been defeated. Citizens in $CAPITAL$ are outraged at this betrayal.;;;;;;;x,,
EVTDESC44322_NEWS_SHORT;A British act which would have seen Canada offered the rights to purchase all British territory from Ontario to Columbia from the Hudson's Bay Company has been defeated.;;;;;;;x,,
EVTNAME44355_NEWS_TITLE;The Canadian National Railway;;;;;;;x,,
EVTDESC44355_NEWS_LONG;The first stage of the Canadian National Railway, linking Winnipeg to the Atlantic Coast, has been completed. Now work must begin on the next stages � crossing the Prairies and then the treacherous Rocky Mountains -- which will be considerably more difficult. This is, according to many," the only way that Canada will remain united as a country: 'From sea to shining sea,' as promised.;;;;;;;x",,,,
EVTDESC44355_NEWS_MEDIUM;The first stage of the Canadian National Railway, linking Winnipeg to the Atlantic Coast, has been completed. Now work must begin on the next stages � crossing the Prairies and then the treacherous Rocky Mountains -- which will be considerably more difficult.;;;;;;;x
EVTDESC44355_NEWS_SHORT;The first stage of the Canadian National Railway, linking Winnipeg to the Atlantic, has been completed. Now work must begin on the next stages, which will be considerably more difficult.;;;;;;;x,
EVTNAME32511_NEWS_TITLE;The Alaskan Purchase;;;;;;;x,,
EVTDESC32511_NEWS_LONG;Distant Alaska has become a burden to the Russian government, and so recently they began quietly approaching powers around the Pacific Rim in the interest of selling it. They found a buyer in $COUNTRY$, and a deal has been concluded where the entirety of Russian America is to be transferred to $COUNTRY_ADJ$ control for an undisclosed sum. Already the $COUNTRY_ADJ$ governor has arrived in Sitka to begin the new administration.;;;;;;;x
EVTDESC32511_NEWS_MEDIUM;Distant Alaska has become a burden to the Russian government � now they have found a buyer in $COUNTRY$, and a deal has been concluded where the entirety of Russian America is to be transferred to $COUNTRY_ADJ$ control.;;;;;;;x,
EVTDESC32511_NEWS_SHORT;A deal has been concluded between Russia and $COUNTRY$ where the entirety of Russian America is to be transferred to $COUNTRY_ADJ$ control.;;;;;;;x,,
EVTDESC80110_NEWS_LONG;A diplomat from Russia arrived in $COUNTRY$ to demand a readjustment of borders on the $COUNTRY_ADJ$ northeastern frontier -- agreed upon almost two hundred years ago. The Russians expressed desire for a southern port upon the Sea of Japan, meaning all of Haishenwai would be turned over to them. This is surely a veiled threat by the Russians, capitalizing on $COUNTRY$`s perceived weakness� but the $COUNTRY_ADJ$ government knows that, if the Russians do not get what they want, it will mean war.;;;;;;;x
EVTDESC80110_NEWS_MEDIUM;A diplomat from Russia arrived in $COUNTRY$ to demand a readjustment of borders on the $COUNTRY_ADJ$ northeastern frontier. The Russians expressed desire for a southern port upon the Sea of Japan, a veiled threat capitalizing on $COUNTRY$`s perceived weakness.;;;;;;;x,
EVTDESC80110_NEWS_SHORT;Russia has demanded readjustment of borders on the $COUNTRY_ADJ$ northeastern frontier, expressing desire for a southern port upon the Sea of Japan.;;;;;;;x,
EVTDESC90115_NEWS_LONG;A riot by Cuban Spanish loyalists recently broke out in Havana. The battleship USS Maine was sent to Havana in response to fears expressed by the American consulate that Americans in Cuba might be endangered. Not long after arriving, the Maine was rocked by an explosion, killing 268 of the crew and sinking the ship in the harbour. American newspapers have leapt on the event, painting pictures of Spanish atrocities which have whipped up the public into a rage. People are calling for war against Spain and intervention in Cuba.;;;;;;;x,
EVTDESC90115_NEWS_MEDIUM;The battleship USS Maine was sent to Cuba in response to fears that Americans might be endangered by riots. Not long after arriving, the Maine was rocked by an explosion, sinking the ship. American newspapers have leapt on the event, whipping up the public into a rage.;;;;;;;x,
EVTDESC90115_NEWS_SHORT;After the battleship USS Maine exploded and sank in the Havana harbour, American newspapers have leapt on the event and called for war against Spain and intervention in Cuba.;;;;;;;x,
EVTDESC90904_NEWS_LONG;It appears $FROMCOUNTRY$ has outgrown the ability of $COUNTRY$ to contain it. The $FROMCOUNTRY$ people have always been more accepting of western ways, to the point where they are now considered to be on par with civilized nations�unlike $COUNTRY$ itself. They have thrown off $COUNTRY_ADJ$ rule, and thus begun a rebellion which even $COUNTRY$ may be unable to contain� provided the $COUNTRY_ADJ$ monarchy does not simply allow them to chart their own course.;;;;;;;x
EVTDESC90904_NEWS_MEDIUM;It appears $FROMCOUNTRY$ has outgrown the ability of $COUNTRY$ to contain it. They have thrown off $COUNTRY_ADJ$ rule, and thus begun a rebellion which even $COUNTRY$ may be unable to contain� provided the $COUNTRY_ADJ$ monarchy does not allow them to chart their own course.;;;;;;;x,
EVTDESC90904_NEWS_SHORT;$FROMCOUNTRY$ has thrown off $COUNTRY_ADJ$ rule, and thus begun a rebellion which even $COUNTRY$ may be unable to contain� provided $COUNTRY$ does not allow them to go free.;;;;;;;x,
EVTNAME98008_NEWS_TITLE;Attempted Coup in $COUNTRY$!;;;;;;;x,,
EVTDESC98008_NEWS_LONG;A group of Czech radical democrats attempted to overthrow the $COUNTRY_ADJ$ government in a coup. The plot, however, did not succeed and was-- according to the $COUNTRY_ADJ$ authorities-- regarded only as a 'local attempt by a few misguided townsmen'. Further interviews revealed, however, that the actions of those 'misguided townsmen' have already inspired others to rise up in demand of freedom. Will their cause succeed? Only time will tell.;;;;;;;x
EVTDESC98008_NEWS_MEDIUM;Czech radical democrats attempted to coup the $COUNTRY_ADJ$ government. According to authorities the 'local attempt by a few misguided townsmen' did not succeed but further interviews revealed that those 'misguided' may have inspired others to rise up in demand of freedom.;;;;;;;x,,
EVTDESC98008_NEWS_SHORT;An attempt of Czech radical democrats - 'a few misguided townsmen', according to authorities - to overthrow the $COUNTRY_ADJ$ government did fail, but may have inspired others to rise up.;;;;;;;x
EVTNAME90016_NEWS_TITLE;$COUNTRY_ADJ$ Heir Assassinated!;;;;;;;x,,
EVTDESC90016_NEWS_LONG;Archduke Ferdinand, heir apparent to the throne of $COUNTRY$ and one of the most prominent members of $COUNTRY_ADJ$ aristocracy, has been murdered by a Serbian assassin, a member of a group of nationalists who seek to rejoin with the Serbian nation. Interviews with $COUNTRY_ADJ$ authorities revealed that there are definite suspicions that the Serbian government has been secretly helping these nationalists and is behind the event. A war with Serbia now does seem rather likely.;;;;;;;x,
EVTDESC90016_NEWS_MEDIUM;Archduke Ferdinand, heir apparent to the throne of $COUNTRY$ has been assassinated by a member of a group of Serbian nationalists who seek to rejoin with the Serbian nation. There are suspicions that the Serbian government is behind this plot and a war with Serbia does seem likely.;;;;;;;x,
EVTDESC90016_NEWS_SHORT;Archduke Ferdinand, heir apparent to the throne of $COUNTRY$ has been assassinated by a member of a Serbian nationalist group seeking to rejoin with the Serbian nation. Suspicions are that the Serbian government is behind this plot and a war with Serbia does seem likely.;;;;;;;x,
EVTNAME90017_NEWS_TITLE;The Hungarian Question;;;;;;;x,,
EVTDESC90017_NEWS_LONG;Many nations in the world have at least one minority group that claim their own cultural or national heritage. In these changing times some merely seek more political autonomy, whilst others want full-scale independence ? even through violent means. With the recent unrest in Hungarian lands, the local Hungarian government has now demanded greater autonomy from $COUNTRY_ADJ$ rule. One has to ask if a nation like $COUNTRY$ should truly become so bitterly divided between its ethnic groups that only a formal division can bring an end to its inner conflicts? ;;;;;;;x
EVTDESC90017_NEWS_MEDIUM;Cultural minority groups increasingly want political autonomy or full-scale independence ? even through violent means. The local Hungarian government now has demanded greater autonomy from $COUNTRY_ADJ$ rule. Should $COUNTRY$ truly become divided between its ethnic groups?;;;;;;;x,,
EVTDESC90017_NEWS_SHORT;Cultural minority groups increasingly want political autonomy or even full-scale independence. The local Hungarian government now has demanded greater autonomy from $COUNTRY_ADJ$ rule.;;;;;;;x,,
EVTDESC38505_NEWS_LONG;The death of Sa'id bin Sultan Al-Busaid of Oman has left him with two sons, each of which has claimed Oman as their own to rule. The result of this struggle has brought in foreign mediation, with the resulting decree that the nation will be split into two sultanates: one in Zanzibar and one in Muscat, each ruled by one of Al-Basaid's sons.;;;;;;;x,
EVTDESC38505_NEWS_MEDIUM;The death of Sa'id bin Sultan Al-Busaid of Oman has left him with two sons, each of which has claimed Oman as their own to rule. The resulting decree is that the nation will be split into two sultanates: one in Zanzibar and one in Muscat, each ruled by one of Al-Basaid's sons.;;;;;;;x
EVTDESC38505_NEWS_SHORT;The Sultan of Oman`s death has left him with two heirs claiming the throne. The result is that the nation will be split into two sultanates: one in Zanzibar and one in Muscat.;;;;;;;x,,
EVTDESC97000_NEWS_LONG;A growing dissatisfaction with the ruling government among Portugal's poor has grown into rebellion, spurred on by popular discontent with the prohibition against burials inside churches. The instigator of the initial riots is a woman by the name of Maria, and her nickname has come to be used to represent the rebellion -- which has a large contingent of peasant women among its supporters -- and which has been co-opted by revolutionaries in emulation of the rebellions elsewhere in Europe.;;;;;;;x,,,
EVTDESC97000_NEWS_MEDIUM;Dissatisfaction with Portugal`s government has grown into rebellion, spurred on by discontent with the prohibition against burials inside churches. The instigator of the initial riots is a woman by the name of Maria, and her nickname has come to be used to represent the rebellion.;;;;;;;x
EVTDESC97000_NEWS_SHORT;Dissatisfaction with Portugal`s government has grown into a rebellion. The instigator of the initial riots is a woman named Maria, and her nickname has come to represent the rebellion.;;;;;;;x,
EVTDESC97003_NEWS_LONG;Reacting to the spreading revolts in Portugal, Queen Maria II has suspended the constitution and installed a reactionary government presided over by Jo�o Francisco de Saldanha Oliveira e Daun, 1st Duke of Saldanha. This has served to spur on Portugal's liberals to outrage, and begun talk of civil war.;;;;;;;x,
EVTDESC97003_NEWS_MEDIUM;Reacting to the spreading revolts in Portugal, Queen Maria II has suspended the constitution and installed a reactionary government presided over by the Duke of Saldanha. This has served to spur on Portugal`s liberals to outrage, and begun talk of civil war.;;;;;;;x
EVTDESC97003_NEWS_SHORT;Reacting to the spreading revolts in Portugal, Queen Maria II has angered liberals by suspending the constitution and installing a reactionary government presided over by the Duke of Saldanha.;;;;;;;x,
EVTDESC97015_NEWS_LONG;Upon returning to Lisbon from a brief trip abroad, King Carlos I of Portugal and the royal family had their carriage fired upon by republican activists as they passed through the Terreiro do Pa�o. Three of the bullets struck and killed the King, while another fatally wounded the heir to the throne, Luis Filipe. During the turmoil, police killed the assassins... but the King and the royal heir were not saved and were pronounced dead at the Naval Arsenal soon afterwards. Manuel, the king's youngest son, has been quickly acclaimed as the new King of Portugal.;;;;;;;x
EVTDESC97015_NEWS_MEDIUM;Upon returning to Lisbon from a brief trip abroad, King Carlos I of Portugal and the royal heir were slain as their carriage was fired upon by republican activists. Manuel, the king's youngest son, has been acclaimed as the new King of Portugal.;;;;;;;x,
EVTDESC97015_NEWS_SHORT;Upon returning from a brief trip abroad, King Carlos I of Portugal and the royal heir were slain by republican activists. Manuel, the king's youngest son, has been acclaimed the new King.;;;;;;;x,
EVTDESC97020_NEWS_LONG;With the Portuguese monarchy already weakened by the death of King Carlos, republican opponents have been able to gather considerable support in Lisbon. Members of the Carbon�ria, republican youth, and elements of the army instigated a coup d'�tat in the palace. The young King Manuel and his family reportedly escaped for exile to England, and only days later a new Portuguese Republic was declared in Lisbon.;;;;;;;x
EVTDESC97020_NEWS_MEDIUM;Members of the Carbon�ria, republican youth, and elements of the army have overthrown the Portuguese monarchy in a coup d'�tat. The young King Manuel and his family reportedly escaped for exile to England, and only days later a new Portuguese Republic was declared in Lisbon.;;;;;;;x,
EVTDESC97020_NEWS_SHORT;Members of the Carbon�ria have overthrown the Portuguese monarchy in a coup d'�tat. King Manuel and his family escaped for exile to England, and a new Portuguese Republic has been declared.;;;;;;;x,
EVTDESC97116_NEWS_LONG;With the death of Ranjit Singh, a vacancy has been left in the leadership of the Sikh Empire which will not be easily filled. The Maharajah's heir died suspiciously within months, as did the heir to follow, all due to infighting among the Panjabi princes struggling to maintain power. As Sikhs pour into the British frontier, it seems they will inevitably be drawn into the conflict.;;;;;;;x
EVTDESC97116_NEWS_MEDIUM;With the death of Ranjit Singh, a vacancy has been left in the leadership of the Sikh Empire and caused much infighting among the Panjabi princes. As Sikhs pour into the British frontier, it seems they will inevitably be drawn into the conflict.;;;;;;;x
EVTDESC97116_NEWS_SHORT;With the death of Ranjit Singh, infighting among the Panjabi princes has erupted. As Sikhs pour into the British frontier, it seems they will inevitably be drawn into the conflict.;;;;;;;x
EVTDESC90038_NEWS_SHORT;According to reports, the French government has been approached by a Sardinian envoy -- the Count of Cavour -- who has made an interesting proposal: an alliance to make war against Austria.;;;;;;;x,
EVTDESC98206_NEWS_MEDIUM;The Boer encroachment into Zulu lands has provoked a reaction: the Battle of Blood River. The Boers won a decisive victory, and have now carved out a new colony -- with the only question remaining whether the British will recognize their independence.;;;;;;;x,
EVTDESC98206_NEWS_SHORT;The Boer encroachment into Zulu lands has provoked the Battle of Blood River. The Boers won a decisive victory, and now the question is whether the British will recognize their independence.;;;;;;;x,
EVTDESC98207_NEWS_LONG;The Boers which have trekked eastward into Zulu lands have reached a surprising settlement with the natives: they have staked out permanent borders for their new colony, and done so in relative peace. The real question remains whether the British will allow this new Natalia Republic to stand. The Boers are British subjects, after all, and their existence will no doubt draw more Boers to their side... perhaps providing a threat to British ambitions in Africa.;;;;;;;x,
EVTDESC98207_NEWS_MEDIUM;The Boers which have trekked into Zulu lands have reached a surprising settlement with the natives: they have staked out permanent borders for their new colony, and done so in relative peace. The real question remains whether the British will allow this new Natalia Republic to stand.;;;;;;;x,
EVTDESC98207_NEWS_SHORT;The Boers which have trekked into Zulu lands have reached a settlement with the natives and staked out permanent borders for the Natalia Republic � which the British consider to be subjects.;;;;;;;x,,
EVTDESC98210_NEWS_LONG;The Boers of Natalia are once again chafing under British rule, resenting the idea that even though they left the Cape Colony they have not escaped the British crown. There have been several altercations with British military forces, and the British government in Cape Town has recommended that Natal be annexed before the situation grows worse. Others have suggested that the Boers be allowed to go their own way, regardless of the blow to British prestige.;;;;;;;x,
EVTDESC98210_NEWS_MEDIUM;There have been several altercations with British military forces in Natal, and the British colonial government has recommended that Natal be annexed before the situation grows worse. Others have suggested that the Boers be allowed to go their own way.;;;;;;;x,
EVTDESC98210_NEWS_SHORT;There have been several altercations with British military forces in Natal, and the British colonial government has recommended that Natal be annexed before the situation grows worse.;;;;;;;x,
EVTDESC98230_NEWS_LONG;British colonial authorities have met with the $COUNTRY_ADJ$ government to determine the requirements for independence. They wish to see British influence in $COUNTRY$ remain strong, and would see them abandon any laws allowing slavery or the 'unethical' treatment of foreigners working in $COUNTRY_ADJ$ territory ('uitlanders', as they are called). While $COUNTRY_ADJ$ independence is a foregone conclusion, they are deciding whether they wish future conflict with the British.;;;;;;;x,
EVTDESC98230_NEWS_MEDIUM;British colonial authorities have met with the $COUNTRY_ADJ$ government to determine the terms of independence. They wish to see British influence in $COUNTRY$ remain strong, and would see them abandon any laws allowing slavery or the 'unethical' treatment of foreign workers.;;;;;;;x,
EVTDESC98230_NEWS_SHORT;British colonial authorities have met with the $COUNTRY_ADJ$ government to determine the terms of their independence from colonial rule.;;;;;;;x,,
EVTDESC98245_NEWS_LONG;The British colonial governor in South Africa reportedly declared an annexation of the Transvaal via special warrant several years ago, one that the Boers have stubbornly resisted. Both Transvaal and the Oranje Free State have considerable resources which would be of value to $COUNTRY$, and thus the Boer resistance has proven embarrassing. If they do not answer this with force, it will harm British prestige.;;;;;;;x,
EVTDESC98245_NEWS_MEDIUM;The British colonial governor in South Africa reportedly declared an annexation of the Transvaal via special warrant several years ago, one that the Boers have stubbornly resisted.;;;;;;;x,
EVTDESC98245_NEWS_SHORT;The British colonial governor in South Africa reportedly declared an annexation of the Transvaal via special warrant several years ago, one that the Boers have stubbornly resisted.;;;;;;;x,
EVTDESC98247_NEWS_LONG;The Boers have proven far more resilient than the world would ever have thought possible, and now the British face the humiliating prospect of surrendering the Cape Colony to them. It seems they have little choice, with the war going so poorly and Cape Town already occupied. Preparations are underway for a meeting with the Boers at Vereeniging to determine the terms of British surrender.;;;;;;;x
EVTDESC98247_NEWS_MEDIUM;The Boers have proven far more resilient than the world would ever have thought possible, and now preparations are underway for a meeting with the Boers at Vereeniging to determine the terms of British surrender.;;;;;;;x,
EVTDESC98247_NEWS_SHORT;The Boers have proven far more resilient than expected, and now preparations are underway for a meeting with the Boers at Vereeniging to determine the terms of British surrender.;;;;;;;x,
EVTDESC80127_NEWS_SHORT;A revolt in the Chinese province of $COUNTRY$ has been successful as the rebel leader confirmed the peace terms. $COUNTRY$ will be under close observation by foreign governments, as usual.;;;;;;;x,
EVTDESC85000_NEWS_LONG;There has been increasing violence against French missionaries in Korea, recently culminating in the execution of Bishop Sim�on-Fran�ois Berneux -- head of the fledgling Korean Catholic Church -- and the subsequent killing of almost all priests in the country as well as thousands of Catholic Koreans. One surviving priest fled to the Qing Empire, relaying his tale to a French war vassal which then launched a punitive expedition with the support of the French consul in Peking.;;;;;;;x
EVTDESC85000_NEWS_MEDIUM;There has been increasing violence against French missionaries in Korea, recently culminating in the killing of thousands of Catholic Koreans. One surviving priest relayed his tale to a French war vassal, which then launched a punitive expedition against the Koreans.;;;;;;;x
EVTDESC85000_NEWS_SHORT;There has been increasing violence against French missionaries in Korea, recently culminating in the killing of thousands of Catholic Koreans.;;;;;;;x,
EVTDESC85010_NEWS_LONG;A $COUNTRY_ADJ$ vessel, surveying the Korean coastline and damaged by a storm, was drawing near Ganghwa Island in search of safe harbour when it was fired on by the coastal Korean fortress. In a fury, the $COUNTRY_ADJ$ ship returned fire and then landed a party to battle the Koreans on land. After victory, they returned home-- but word of the assault has spread to the rest of Japan and sparked a diplomatic incident.;;;;;;;x
EVTDESC85010_NEWS_MEDIUM;A $COUNTRY_ADJ$ vessel, surveying the Korean coastline and damaged by a storm, was fired on by a coastal Korean fortress. In a fury, the $COUNTRY_ADJ$ ship returned fire-- and word of the assault has spread to the rest of Japan and sparked a diplomatic incident.;;;;;;;x,
EVTDESC85010_NEWS_SHORT;A $COUNTRY_ADJ$ vessel, damaged by a storm, was fired on by a coastal Korean fortress. Word of the assault has spread to the rest of Japan and sparked a diplomatic incident.;;;;;;;x
EVTDESC85020_NEWS_LONG;With increasing frustration against government corruption and foreign influence in $COUNTRY$, a rebel movement has appeared among followers of the Tonghak or 'Eastern Learning' ideology. They have been stirring up the $COUNTRY_ADJ$ peasant classes, forming poorly-armed if numerous armies to purge the capital and rid the country of Japanese and other foreign presences. $COUNTRY$ will need to move quickly if they wish to prevent these rebels from overthrowing the government or causing an incident with neighbouring powers.;;;;;;;x
EVTDESC85020_NEWS_MEDIUM;With increasing frustration against foreign influence in $COUNTRY$, a rebel movement has appeared among followers of the Tonghak or 'Eastern Learning' ideology. They have been stirring up the $COUNTRY_ADJ$ peasant classes to rid the country of Japanese and other foreign presences.;;;;;;;x,
EVTDESC85020_NEWS_SHORT;With increasing frustration against foreign influence in $COUNTRY$, a rebel movement has appeared among followers of the Tonghak or 'Eastern Learning' ideology.;;;;;;;x,
EVTDESC85028_NEWS_LONG;Responding to rumors of $COUNTRY$'s intended intervention in Korea, $FROMCOUNTRY_ADJ$ forces entered Seoul and captured the Korean Imperial Palace in a swift coup. A pro-Japanese government has been installed, effectively rendering Korea a $FROMCOUNTRY_ADJ$ vassal, with orders to end any agreements and alliances with $COUNTRY$ and ban $COUNTRY_ADJ$ forces from entering their nation. $COUNTRY_ADJ$ forces are massing on the border, possibly indicating war to come.;;;;;;;x
EVTDESC85028_NEWS_MEDIUM;$FROMCOUNTRY_ADJ$ forces recently entered Seoul and captured the Korean Imperial Palace in a swift coup, effectively rendering Korea a $FROMCOUNTRY_ADJ$ vassal, with orders to end any agreements and alliances with $COUNTRY$ and ban $COUNTRY_ADJ$ forces from entering their nation.;;;;;;;x
EVTDESC85028_NEWS_SHORT;$FROMCOUNTRY_ADJ$ forces entered Seoul and captured the Korean Imperial Palace in a swift coup, effectively rendering Korea a $FROMCOUNTRY_ADJ$ vassal.;;;;;;;x,
EVTDESC98620_NEWS_LONG;With the Ottoman government having indicated its willingness to provide reforms, an intellectual class known as the Young Ottomans has arisen -- men influenced by the ideals of the French Revolution who are advocating the assumption of secular rather than religious laws as well as the provision of rights to ethnic minorities. This, they say, will help stem the tide of decay in the Empire.;;;;;;;x,
EVTDESC98620_NEWS_MEDIUM;With the Ottoman government having indicated its willingness to provide reforms, an intellectual class known as the Young Ottomans has arisen-- advocating the assumption of secular rather than religious laws as well as the provision of rights to ethnic minorities.;;;;;;;x,
EVTDESC98620_NEWS_SHORT;An intellectual class known as the Young Ottomans has arisen in the Ottoman Empire -- advocating secular rather than religious laws as well as the provision of rights to ethnic minorities.;;;;;;;x,,
EVTDESC98626_NEWS_LONG;The current state of unrest within the Ottoman Empire has reached the point where the Sultan has been advised to abrogate the constitution. While there are those who say that such action will only foster more unrest, there are others who are all too aware that failing to do so will make the Sultan look weak. It is not beyond the realm of possibility that reactionaries might seek to restore the monarchy by force -- or, even worse, seek to abolish it altogether.;;;;;;;x,
EVTDESC98626_NEWS_MEDIUM;The current state of unrest within the Ottoman Empire has reached the point where the Sultan has been advised to abrogate the constitution. While some say such action will only foster more unrest, others are all too aware that failing to do so will make the Sultan look weak.;;;;;;;x,
EVTDESC98626_NEWS_SHORT;The current state of unrest within the Ottoman Empire has reached the point where the Sultan has been advised to abrogate the constitution as a desperate bid to restore order.;;;;;;;x,,
EVTDESC98636_NEWS_MEDIUM;Turkish liberals have grown increasingly defiant of the Ottoman monarchy -- to the point where they suggest that the Sultan must be overthrown, replaced with a modern republic. They reject the notion of Ottomanism, saying it has already led to the Empire's decline.;;;;;;;x
EVTDESC98636_NEWS_SHORT;Turkish liberals have grown increasingly defiant of the Ottoman monarchy -- to the point where they suggest that the Sultan must be overthrown, replaced with a modern republic.;;;;;;;x,
EVTDESC98640_NEWS_SHORT;The Ottoman monarchy has been overthrown, and now $COUNTRY$ stands in its place. An Empire formed of diverse cultures has been set aside in favor of a nation built for the Turkish people.;;;;;;;x,
EVTDESC97503_NEWS_LONG;A crisis brews in the Levant: the French government has successfully pressured $FROMCOUNTRY$ into accepting their claim of authority over Christian holy sites in Palestine -- authority which has traditionally belonged to Russia ever since the 1774 Treaty of K���k Kaynarca. The Russians consider this a breach of the treaty and a threat to Russian interests in the Holy Land.;;;;;;;x,,
EVTDESC97503_NEWS_MEDIUM;A crisis brews in the Levant: the French government has successfully pressured $FROMCOUNTRY$ into accepting their claim of authority over Christian holy sites in Palestine -- authority which has traditionally belonged to Russia ever since the 1774 Treaty of K���k Kaynarca.;;;;;;;x,,
EVTDESC97503_NEWS_SHORT;The French government has pressured $FROMCOUNTRY$ into accepting their claim of authority over Christian holy sites in Palestine�authority which has traditionally rested with Russia.;;;;;;;x,,
EVTDESC95616_NEWS_LONG;Unrest within $FROMCOUNTRY$ against $COUNTRY_ADJ$ rule has reached a boiling point, and $CAPITAL$ is seriously considering ruling them directly. Should $COUNTRY$ choose not to upset the balance of power in the region so drastically, they may find $FROMCOUNTRY$ soon taken from their control and turned into a target for another power's expansion.;;;;;;;x
EVTDESC95616_NEWS_MEDIUM;Unrest within $FROMCOUNTRY$ against $COUNTRY_ADJ$ rule has reached a boiling point, and $CAPITAL$ is seriously considering ruling them directly. Should they choose not to do so, they may find $FROMCOUNTRY$ soon taken from their control.;;;;;;;x
EVTDESC95616_NEWS_SHORT;Unrest within $FROMCOUNTRY$ against $COUNTRY_ADJ$ rule has reached a boiling point, and $CAPITAL$ is considering taking direct control of the country.;;;;;;;x,
EVTDESC95613_NEWS_LONG;As tensions are rising in Central Asia, several $FROMCOUNTRY_ADJ$ soldiers accidentally crossed the $COUNTRY_ADJ$ border. $COUNTRY_ADJ$ soldiers were killed, and even more were wounded. Though the $FROMCOUNTRY_ADJ$ government is apologetic, voices in $CAPITAL$ are calling to move in and assume control of their country. How such an action would affect the stability in the region is anyone's guess.;;;;;;;x,
EVTDESC95613_NEWS_MEDIUM;Tensions are rising in Central Asia as several $FROMCOUNTRY_ADJ$ soldiers crossed the $COUNTRY_ADJ$ border, wounding and killing several soldiers. Voices in $CAPITAL$ are calling to move in and assume control of the $FROMCOUNTRY_ADJ$ government.;;;;;;;x,
