;;;x
USA_absolute_monarchy;The American Empire;;;x
USA_prussian_constitutionalism;The American Empire;;;x
USA_hms_government;The Kingdom of America;;;x
USA_proletarian_dictatorship;The People's Republic of America;;;x
VEN_democracy;The Republic of San Marco;;;x
VEN_presidential_dictatorship;The Republic of San Marco;;;x
VEN_reactionary;Monarchici;;;x
VEN_liberal;Intransigenti;;;x
VEN_conservative;Transigenti;;;x
VEN_socialist;Socialisti;;;x
VEN_communist;Rivoluzionari;;;x
VEN_reactionary_2;Cattolici;;;x
VEN_anarcho_liberal;Radicali;;;x
VEN_fascist;Fascisti;;;x
WES;Westfalen;;;x
WES_ADJ;Westphalian ;;;x
WES_liberal;Liberaldem. Partei;;;x
WES_conservative;Zentrumspartei;;;x
WES_liberal_2;Nationalliberale ;;;x
WES_liberal_3;Freisinnige Partei;;;x
WES_socialist;Deutscher Arbeiterverein;;;x
WES_socialist_2;Sozialdem. Arbeiterpartei ;;;x
WES_socialist_3;Sozial. Arbeiterpartei ;;;x
WES_reactionary;Nationale Partei;;;x
WES_conservative_2;Konservative Partei;;;x
WES_conservative_3;Christsoz. Arbeiterpartei;;;x
WES_anarcho_liberal;Radical Arbeiterpartei;;;x
WES_communist;Communist Arbeiterpartei;;;x
WES_fascist;NSDP;;;x
XBI_ADJ;Qinghai;;;x
XBI_presidential_dictatorship;Ma Clique;;;x
XBI_presidential_dictatorship_ADJ;Hui;;;x
XBI_reactionary_2;Confucianist Faction;;;x
XBI_conservative_2;Amban Faction;;;x
XBI_liberal_2;Reformer Faction;;;x
XIN_presidential_dictatorship;Xinjiang Clique;;;x
YNN_presidential_dictatorship;Yunnan Clique;;;x
DEN;Denmark-Norway;;;x
