;;;;;;;x
AOT;Aotearoa;Aotearoa;Aotearoa;;;;;;;x
AOT_ADJ;Maori;Maori;Maori;;;;;;;x
AOT_conservative;Kingitanga;Kingitanga;Kingitanga;;;;;;;x
AOT_liberal;Ropu o te Rangatahi;Ropu o te Rangatahi;Ropu o te Rangatahi;;;;;;;x
AOT_socialist;Ratana;Ratana;Ratana;;;;;;;x
AOT_communist;Toputanga-a-iwi;Toputanga-a-iwi;Toputanga-a-iwi;;;;;;;x
AOT_reactionary;Kauhanganui;Kauhanganui;Kauhanganui;;;;;;;x
AOT_anarcho_liberal;Mana Maori Motuhake;Mana Maori Motuhake;Mana Maori Motuhake;;;;;;;x
AOT_fascist;Kawanatanga Whakahawini;Kawanatanga Whakahawini;Kawanatanga Whakahawini;;;;;;;x
ARA;Arabia;;;;;;;x
ARA_ADJ;Arabian;;;;;;;x
ARA_reactionary;Al Sa'ud;;;;;;;x
ARA_reactionary2;Al Rashid;;;;;;;x
ARA_conservative;Al Muhafidh;;;;;;;x
ARA_liberal;Al Mutaharir;;;;;;;x
ARA_anarcho_liberal;Al Anarkiliberali;;;;;;;x
ARA_socialist;Al Ishtiraki;;;;;;;x
ARA_communist;Al Shiu'i;;;;;;;x
ARA_fascist;Al Fashi;;;;;;;x
BRU_ADJ;Bruneian;;;;;;;x
CGO;Congo;;;;;;;x
CGO_ADJ;Congolese;;;;;;;x
CGO_proletarian_dictatorship;People's Republic of the Congo;;;;;;;x
CGO_liberal;MCDDI;;;;;;;x
CGO_anarcho_liberal;Union for Democratic Renewal;;;;;;;x
CGO_conservative;UDDIA;;;;;;;x
CGO_reactionary;Party of Unity, Work and Progress;;;;;;;x
CGO_socialist;Congolese Progressive Party;;;;;;;x
CGO_communist;Congolese Party of Labor;;;;;;;x
CGO_fascist;Friendly Union for Complete Change;;;;;;;x
CHI;China;;;;;;;x
CLM_fascist_dictatorship;Gran Colombia;;;;;;;x
CLM_absolute_monarchy;New Granada;;;;;;;x
CLM_prussian_constitutionalism;New Granada;;;;;;;x
CLM_hms_government;New Granada;;;;;;;x
CPL;Congress Poland;Royaume du Congres;Kongresspolen;;Zarato de Polonia;;;;;;;x
CPL_ADJ;Polish;Polonais;Polnisch;;Polaca;;;;;;;x
CSA_democracy;The Confederate States of America;;;;;;;x
CSA_presidential_dictatorship;The Confederate States of America;;;;;;;x
CSA_bourgeois_dictatorship;The Confederate States of America;;;;;;;x
CSA_absolute_monarchy;The Imperial Confederacy;;;;;;;x
CSA_prussian_constitutionalism;The Imperial Confederacy;;;;;;;x
CSA;The Confederate States of America;;;;;;;x
CSA_fascist_dictatorship;The Confederacy;;;;;;;x
CSA_proletarian_dictatorship;The People's Confederacy;;;;;;;x
DLM;Illyria;;;;;;;x
DLM_ADJ;Illyrian;;;;;;;x
FRA_liberal;Républicain;Républicain;Républicain;;Républicain;;;;;;;x
FRA_liberal_2;Union libérale;;;;;;;x
FRA_liberal_3;Républicain libérale;;;;;;;x
FRA_conservative;Orléaniste;Orléaniste;Orléaniste;;Orléaniste;;;;;;;x
FRA_conservative_2;Bonapartiste;Bonapartiste;Bonapartiste;;Bonapartiste;;;;;;;x
FRA_conservative_3;Républicain modéré;Républicain modéré;Républicain modéré;;Républicain modéré;;;;;;;x
FRA_conservative_4;Orléaniste;Orléaniste;Orléaniste;;Orléaniste;;;;;;;x
FRA_conservative_5;Royaliste;Royaliste;Royaliste;;Royaliste;;;;;;;x
GCO;Gran Colombia;;;;;;;x
GCO_ADJ;Colombian;;;;;;;x
GCO_absolute_monarchy;New Granada;;;;;;;x
GCO_prussian_constitutionalism;New Granada;;;;;;;x
GCO_hms_government;New Granada;;;;;;;x
GCO_absolute_monarchy_ADJ;New Granadan;;;;;;;x
GCO_prussian_constitutionalism_ADJ;New Granadan;;;;;;;x
GCO_hms_government_ADJ;New Granadan;;;;;;;x
GXI_presidential_dictatorship;Guangxi Clique;Clique de Guangxi;Guangxi-Clique;;;;;;;x
HOL_anarcho_liberal;Radicale Partij;;;;;;;x
ITA_reactionary;Fazione Monarchica;Fazione Monarchica;Fazione Monarchica;;Fazione Monarchica;;;;;;;x
ITA_conservative;Destra Liberale;Destra Liberale;Destra Liberale;;Destra Liberale;;;;;;;x
ITA_liberal;Sinistra Liberale;Sinistra Liberale;Sinistra Liberale;;Sinistra Liberale;;;;;;;x
ITA_liberal_2;Partito Repubblicano Italiano;Partito Repubblicano Italiano;Partito Repubblicano Italiano;;Partito Repubblicano Italiano;;;;;;;x
ITA_conservative_2;Partito Liberale Italiano;Partito Liberale Italiano;Partito Liberale Italiano;;Partito Liberale Italiano;;;;;;;x
ITA_conservative_3;Partito Popolare Italiano;Partito Popolare Italiano;Partito Popolare Italiano;;Partito Popolare Italiano;;;;;;;x
ITA_socialist;Partito Socialista Italiano;Partito Socialista Italiano;Partito Socialista Italiano;;Partito Socialista Italiano;;;;;;;x
ITA_anarcho_liberal;Estrema Sinistra Liberale;Estrema Sinistra Liberale;Estrema Sinistra Liberale;;Estrema Sinistra Liberale;;;;;;;x
ITA_communist;Partito Comunista d'Italia;Partito Comunista d'Italia;Partito Comunista d'Italia;;Partito Comunista d'Italia;;;;;;;x
ITA_fascist;Partito Nazionale Fascista;Partito Nazionale Fascista;Partito Nazionale Fascista;;Partito Nazionale Fascista;;;;;;;x
CSA_presidential_dictatorship;The Confederate States of America;;;;;;;x
CSA;The Confederate States of America;;;;;;;x
CSA_bourgeois_dictatorship;The Confederate States of America;;;;;;;x
CSA_fascist_dictatorship;The Confederacy;;;;;;;x
CSA_proletarian_dictatorship;The People's Confederacy;;;;;;;x
ITA_democracy;The Italian Republic;;;;;;;x
ITA_bourgeois_dictatorship_ADJ;Italian;;;;;;;x
ITA_proletarian_dictatorship;The People's Republic of Italy;;;;;;;x
ITA_proletarian_dictatorship_ADJ;Italian;;;;;;;x
JAP_absolute_monarchy;Imperial Japan;;;;;;;x
JAP_reactionary;Handoutou;Faction Shogunate;Shogunate Faction;;;;;;;x
JAP_conservative;Rikken Teiseitou;Faction de la cour;Court Faction;;;;;;;x
JAP_conservative_2;Rikken Kaishintou;Faction impérialiste;Imperialist Faction;;;;;;;x
JAP_reactionary_2;Handoutou;Faction nationaliste;Nationalistische Fraktion;;;;;;;x
JAP_conservative_3;Tachiagare Nippon;Faction conservatrice;Conservative Faction;;;;;;;x
JAP_liberal;Aikokusha;Faction libérale;Liberal Faction;;;;;;;x
JAP_socialist;Shakaitou;Faction marxiste;Marxist Faction;;;;;;;x
JAP_anarcho_liberal;Ishin Seito Shimpu;;;;;;;x
JAP_communist;Kyousantou;Faction communiste;Kommunistische Fraktion;;;;;;;x
JAP_fascist;Kokuhonsha;Faction fasciste;Faschistische Faction;;;;;;;x
KLM;Kalimantan;;;;;;;x
KLM_ADJ;Kalimantan;;;;;;;x
KTI;Kutai;;;;;;;x
KTI_ADJ;Kutain;;;;;;;x
KTI_conservative;Royal Faction;;;;;;;x
KTI_liberal;The Liberal Faction;;;;;;;x
KTI_reactionary;The Nationalist Faction;;;;;;;x
KTI_anarcho_liberal;The Radical Faction;;;;;;;x
KTI_socialist;The Socialist Faction;;;;;;;x
KTI_communist;The Communist Faction;;;;;;;x
KTI_fascist;The Fascist Faction;;;;;;;x
LAN;Lanfang;;;;;;;x
LAN_ADJ;Lanfang;;;;;;;x
LAN_conservative;Conservative Kongsi;;;;;;;x
LAN_liberal;Liberal Kongsi;;;;;;;x
LAN_reactionary;Nationalist Kongsi;;;;;;;x
LAN_anarcho_liberal;Radical Kongsi;;;;;;;x
LAN_socialist;Socialist Kongsi;;;;;;;x
LAN_communist;The Communist Kongsi;;;;;;;x
LAN_fascist;Fascist Kongsi;;;;;;;x
LOM_reactionary;Monarchici;Monarchici;Monarchici;;Monarchici;;;;;;;x
LOM_liberal;Intransigenti;Intransigenti;Intransige nti;;Intransigenti;;;;;;;x
LOM_conservative;Transigenti;Transigenti;Transigen ti;;Transigenti;;;;;;;x
LOM_socialist;Socialisti;Socialisti;Socialisti;;So cialisti;;;;;;;x
LOM_communist;Rivoluzionari;Rivoluzionari;Rivoluzionari;;Rivoluzio nari;;;;;;;x
LOM_reactionary_2;Cattolici;Cattolici;Cattolici;;C attolici;;;;;;;x
LOM_anarcho_liberal;Radicali;Radicali;Radicali;;Radicali;;;;;;;x
LOM_fascist;Fascisti;Fascisti;Fascisti;;Fascisti;;;;;;;x
LPL;La Plata;;;;;;;x
LPL_ADJ;Platinean;;;;;;;x
MOD_reactionary;Restaurazionisti;Restaurazionisti;Restaurazionisti;;Restaurazionis ti;;;;;;;x
MOD_conservative;Moderati ;Moderati ;Moderati;;Moderati ;;;;;;;x
MOD_liberal;Riformisti ;Riformisti ;Riformisti;;Riformisti ;;;;;;;x
MOD_liberal_2;Liberali;Liberali;Liberali;;Liberali ;;;;;;;x
MOD_socialist;Socialisti;Socialisti;Socialisti;;Socialisti;;;;;;;x x
MOD_conservative_2;Popolari;Popolari;Popolari;;Pop olari;;;;;;;x
MOD_anarcho_liberal;Radicali;Radicali;Radicali;;Radicali;;;;;;;x
MOD_communist;Comunisti;Comunisti;Comunisti;;Comunisti;;;;;;;x
MOD_fascist;Fascisti;Fascisti;Fascisti;;Fascisti;;;;;;;x
NEJ_absolute_monarchy;Nejd Emirate;;;;;;;x
NEJ_prussian_constitutionalism;Nejd Emirate;;;;;;;x
NEJ_hms_government;Nejd Emirate;;;;;;;x
NEJ_absolute_monarchy_ADJ;Saudi;;;;;;;x
NEJ_prussian_constitutionalism_ADJ;Saudi;;;;;;;x
NEJ_hms_government_ADJ;Saudi;;;;;;;x
NEJ_conservative;Al-Sa'ud;;;;;;;x
NEJ_liberal;Al-Ahrar;;;;;;;x
NEJ_reactionary;Al-Da'wa al-Wahhabiyyah;;;;;;;x
NEJ_anarcho_liberal;Al-Hizb al-Metterf;;;;;;;x
NEJ_socialist;Hizb al-Ba'ath al-'Arabi al-Ishtiraki;;;;;;;x
NEJ_communist;Al-Hizb al-Shuyu'i;;;;;;;x
NEJ_fascist;Al-Hizb al-Fashy;;;;;;;x
NOR_liberal;Liberals;;;;;;;x
NOR_liberal_2;Venstre;;;;;;;x
NOR_conservative;Conservatives;;;;;;;x
NOR_conservative_2;Høyre;;;;;;;x
NOR_conservative_3;Moderate Venstre;;;;;;;x
NOR_conservative_4;Samlingspartiet;;;;;;;x
NOR_conservative_5;Frisinnede Venstre;;;;;;;x
NOR_conservative_6;Kristelig Folkeparti;;;;;;;x
NOR_anarcho_liberal_2;Arbeiderdemokratene;;;;;;;x
NOR_socialist;Socialists;;;;;;;x
NOR_socialist_2;Det Norske Arbeiderparti;;;;;;;x
NOR_socialist_3;Norges Socialdemokratiske Arbeiderparti;;;;;;;x
NOR_socialist_4;Bondepartiet;;;;;;;x
NOR_communist_2;Det Norske Arbeiderparti;;;;;;;x
NOR_communist_3;Norges Kommunistiske Parti;;;;;;;x
NOR_fascist;Nationalists;;;;;;;x
NOR_fascist_2;Nasjonal Samling;;;;;;;x
CZH_fascist;Vlajka;;;;;;;x
SLV_fascist;Slovenská Ludová Strana;;;;;;;x
BEL_fascist;Parti Rexiste;;;;;;;x
YEM_proletarian_dictatorship;People's Republic of Yemen;;;;;;;x
PAP_ADJ_democracy;Roman;;;;;;;x
PAP_ADJ_presidential_dictatorship;Roman;;;;;;;x
PAP_ADJ_bourgeois_dictatorship;Roman;;;;;;;x
PAP_ADJ_proletarian_dictatorship;Roman;;;;;;;x
PAP_ADJ_fascist_dictatorship;Roman;;;;;;;x
PAP_ADJ_theocracy;Papal;;;;;;;x
PAP_ADJ;Roman;;;;;;;x
PAR_reactionary;Restaurazionisti;Restaurazionisti;Restaurazionisti;;Restaurazionis ti;;;;;;;x
PAR_conservative;Moderati ;Moderati ;Moderati;;Moderati ;;;;;;;x
PAR_liberal;Riformisti ;Riformisti ;Riformisti;;Riformisti ;;;;;;;x
PAR_liberal_2;Liberali;Liberali;Liberali;;Liberali ;;;;;;;x
PAR_socialist;Socialisti;Socialisti;Socialisti;;Socialisti;;;;;;;x x
PAR_conservative_2;Popolari;Popolari;Popolari;;Pop olari;;;;;;;x
PAR_anarcho_liberal;Radicali;Radicali;Radicali;;Radicali;;;;;;;x
PAR_communist;Comunisti;Comunisti;Comunisti;;Comunisti;;;;;;;x
PAR_fascist;Fascisti;Fascisti;Fascisti;;Fascisti;;;;;;;x
PER;Iran;;;;;;;x
PER_ADJ;Iranian;;;;;;;x
PER_absolute_monarchy;Persia;;;;;;;x
PER_absolute_monarchy_ADJ;Persian;;;;;;;x
PER_prussian_constitutionalism;The Imperial State of Iran;;;;;;;x
PER_hms_government;The Imperial State of Iran;;;;;;;x
PER_bourgeois_dictatorship;The Iranian Free State;;;;;;;x
PER_communist;Tudeh Party of Iran;;;;;;;x
PER_conservative;Shahist Faction;;;;;;;x
PER_reactionary;Ulama Faction;;;;;;;x
PER_anarcho_liberal;Bazaari Faction;;;;;;;x
PER_socialist;Hizb-e Socialyist;;;;;;;x
PER_fascist;SUMKA;;;;;;;x
PER_liberal;Constitutionalist Party;;;;;;;x
PER_liberal_2;National Front;;;;;;;x
PAN_absolute_monarchy;The Sikh Empire;;;;;;;x
PAN_prussian_constitutionalism;The Sikh Empire;;;;;;;x
PAN_absolute_monarchy_ADJ;Sikh;;;;;;;x
PAN_prussian_constitutionalism_ADJ;Sikh;;;;;;;x
PAN_fascist_dictatorship;Khalistan;;;;;;;x
PAN_fascist_dictatorship_ADJ;Khalistani;;;;;;;x
PLC;The Polish-Lithuanian Commonwealth;;;;;;;x
PLC_ADJ;Polish-Lithuanian;;;;;;;x
PLC_proletarian_dictatorship;The Polish-Lithuanian Republic;;;;;;;x
PLC_fascist_dictatorship;The Polish-Lithuanian Republic;;;;;;;x
PLC_presidential_dictatorship;The Polish-Lithuanian Republic;;;;;;;x
PLC_democracy;Poland-Lithuania;;;;;;;x
CHI_conservative;Junjichu;;;;;;;x
CHI_conservative_2;Zhiqiang Yundong;;;;;;;x
CHI_conservative_3;Beiyang;;;;;;;x
CHI_conservative_4;Kuomintang;;;;;;;x
CHI_conservative_5;Mínzhudang;;;;;;;x
CHI_liberal;Gai Liang Pai;;;;;;;x
CHI_liberal_2;Xingzhonghui;;;;;;;x
CHI_liberal_3;Zhongguó Mínzhu Tóngméng;;;;;;;x
CHI_liberal_4;Yang Wu Pai;;;;;;;x
CHI_reactionary;Kongjiào Yundong;;;;;;;x
CHI_reactionary_2;Jìnbùdang;;;;;;;x
CHI_anarcho_liberal;Zhongguó Mínzhu Jiànguó Huì;;;;;;;x
CHI_socialist;Zhongguó Guójia Shèhuì Dang;;;;;;;x
CHI_communist;Zhongguó Gòngchandang;;;;;;;x
CHI_fascist;Kai-tsu P'ai;;;;;;;x
RHI;Rhineland;Rhénanie;Rheinland;;Rhineland;;;;;;;x
RHI_ADJ;Rhinelander;Rhénan;Rheinlander;;Rhinelander;;;;;;;x
RHI_liberal;Liberaldem. Partei;Liberaldem. Partei;Liberaldem. Partei;;;;;;;x
RHI_conservative;Zentrumspartei;Zentrumspartei;Zentrumspartei;;;;;;;x
RHI_liberal_2;Nationalliberale ;Nationalliberale ;Nationalliberale ;;;;;;;x
RHI_liberal_3;Freisinnige Partei;Freisinnige Partei;Freisinnige Partei;;;;;;;x
RHI_socialist;Deutscher Arbeiterverein;Deutscher Arbeiterverein;Deutscher Arbeiterverein;;;;;;;x
RHI_socialist_2;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;;;;;;;x
RHI_socialist_3;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;;;;;;;x
RHI_reactionary;Nationale Partei;Nationale Partei;Nationale Partei;;;;;;;x
RHI_conservative_2;Konservative Partei;Konservative Partei;Konservative Partei;;;;;;;x
RHI_conservative_3;Christsoz. Arbeiterpartei;Christsoz. Arbeiterpartei;Christsoz. Arbeiterpartei;;;;;;;x
RHI_anarcho_liberal;Radical Arbeiterpartei;Arbeiterpartei radical;Radikale Arbeiterpartei;;;;;;;x
RHI_communist;Communist Arbeiterpartei;Arbeiterpartei communiste;Kommunistische Arbeiterpartei;;;;;;;x
RHI_fascist;NSDP;NSDP;NSDP;;;;;;;x
RHO_democracy;Rhodesia;;;;;;;x
RUT_proletarian_dictatorship;West Ukrainian People's Republic;;;;;;;x
RUT_proletarian_dictatorship_ADJ;West Ukrainian;;;;;;;x
RUT_democracy;West Ukraine;;;;;;;x
RUT_democracy_ADJ;West Ukrainian;;;;;;;x
RUT_presidential_dictatorship;West Ukraine;;;;;;;x
RUT_presidential_dictatorship_ADJ;West Ukrainian;;;;;;;x
SAR_reactionary;Restaurazionisti;Restaurazionisti;Restaurazionisti;;Restaurazionis ti;;;;;;;x
SAR_conservative;Moderati;Moderati ;Moderati;;Moderati ;;;;;;;x
SAR_liberal;Riformisti;Riformisti ;Riformisti;;Riformisti ;;;;;;;x
SAR_liberal_2;Liberali;Liberali;Liberali;;Liberali ;;;;;;;x
SAR_socialist;Socialisti;Socialisti;Socialisti;;Socialisti;;;;;;;x x
SAR_conservative_2;Popolari;Popolari;Popolari;;Pop olari;;;;;;;x
SAR_anarcho_liberal;Radicali;Radicali;Radicali;;Radicali;;;;;;;x
SAR_communist;Comunisti;Comunisti;Comunisti;;Comunisti;;;;;;;x
SAR_fascist;Fascisti;Fascisti;Fascisti;;Fascisti;;;;;;;x
SAK;Siak;;;;;;;x
SAK_ADJ;Siak;;;;;;;x
SLW;Sulawesi;;;;;;;x
SLW_ADJ;Sulawesian;;;;;;;x
SLW_absolute_monarchy;Bone Sultanate;;;;;;;x
SLW_prussian_constitutionalism;Bone Sultanate;;;;;;;x
SLW_hms_government;Bone Sultanate;;;;;;;x
SPC;Spain;;;;;;;x
SPC_absolute_monarchy;The Kingdom of Spain;;;;;;;x
SPC_prussian_constitutionalism;The Kingdom of Spain;;;;;;;x
SPC_hms_government;The Kingdom of Spain;;;;;;;x
SPC_ADJ;Spanish;;;;;;;x
SUL;Sulu;;;;;;;x
SUL_ADJ;Sulu;;;;;;;x
SUL_conservative;Conservatist Faction;;;;;;;x
SUL_liberal;Reformist Faction;;;;;;;x
SUL_socialist;Progressive Faction;;;;;;;x
SUL_communist;Communist Faction;;;;;;;x
SUL_reactionary;Nationalist Faction;;;;;;;x
SUL_anarcho_liberal;Radical Faction;;;;;;;x
SUL_fascist;Fascist faction;;;;;;;x
SWK;Sarawak;;;;;;;x
SWK_ADJ;Sarawakian;;;;;;;x
SWK_fascist_dictatorship;Borneo Republic;;;;;;;x
SWK_fascist_dictatorship_ADJ;Bornean;;;;;;;x
SWK_conservative;Rajah Faction;Faction royale;Königsfraktion;;Facción real;;;;;;;x
SWK_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;La facción liberal;;;;;;;x
SWK_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;La facción nacionalista;;;;;;;x
SWK_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;La facción radical;;;;;;;x
SWK_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;La facción socialista;;;;;;;x
SWK_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;La facción comunista;;;;;;;x
SWK_fascist;The Borneo Faction;Faction fasciste;Die faschistische Fraktion;;La facción fascista;;;;;;;x
SIE;Transylvania;;;;;;;x
SIE_ADJ;Transylvanian;;;;;;;x
SXI;Shanxi;Clique de Shanxi;Shanxi-Clique;;;;;;;x
SXI_presidential_dictatorship;Shanxi Clique;Clique de Shanxi;Shanxi-Clique;;;;;;;x
TPG;Heavenly Kingdom;;;;;;;x
TPG_democracy;Taiping Republic;;;;;;;x
TPG_bourgeois_dictatorship;Taiping Republic;;;;;;;x
TPG_proletarian_dictatorship;Communist Taiping;;;;;;;x
TPG_fascist_dictatorship;Taiping;;;;;;;x
TPG_presidential_dictatorship;Taiping Clique;;;;;;;x
TPG_ADJ;Taiping;;;;;;;x
TPG_conservative;West King;;;;;;;x
TPG_liberal;Yi King;;;;;;;x
TPG_reactionary;East King;;;;;;;x
TPG_socialist;North King;;;;;;;x
TPG_anarcho_liberal;The Radical Faction;;;;;;;x
TPG_communist;The Communist Faction;;;;;;;x
TPG_fascist;The Fascist Faction;;;;;;;x
TRE_reactionary;Monarchici;Monarchici;Monarchici;;Monarchici;;;;;;;x
TRE_liberal;Intransigenti;Intransigenti;Intransige nti;;Intransigenti;;;;;;;x
TRE_conservative;Transigenti;Transigenti;Transigen ti;;Transigenti;;;;;;;x
TRE_socialist;Socialisti;Socialisti;Socialisti;;So cialisti;;;;;;;x
TRE_communist;Rivoluzionari;Rivoluzionari;Rivoluzionari;;Rivoluzio nari;;;;;;;x
TRE_reactionary_2;Cattolici;Cattolici;Cattolici;;C attolici;;;;;;;x
TRE_anarcho_liberal;Radicali;Radicali;Radicali;;Radicali;;;;;;;x
TRE_fascist;Fascisti;Fascisti;Fascisti;;Fascisti;;;;;;;x
BYZ;The Greek Empire;;;;;;;x
BYZ_ADJ;Greek;;;;;;;x
BYZ_democracy;The Greek Federation;;;;;;;x
BYZ_presidential_dictatorship;The Greek Federation;;;;;;;x
BYZ_bourgeois_dictatorship;The Greek Federation;;;;;;;x
BYZ_proletarian_dictatorship;The Socialist Greek Union;;;;;;;x
TUR;Turkey;;;;;;;x
TUR_ADJ;Turkish;;;;;;;x
TUR_absolute_monarchy;The Ottoman Empire;;;;;;;x
TUR_absolute_monarchy_ADJ;Ottoman;;;;;;;x
TUR_prussian_constitutionalism;The Ottoman Empire;;;;;;;x
TUR_prussian_constitutionalism_ADJ;Ottoman;;;;;;;x
TUR_hms_government;The Ottoman Empire;;;;;;;x
TUR_hms_government_ADJ;Ottoman;;;;;;;x
TUR_bourgeois_dictatorship;Turkish Free State;;;;;;;x
TUR_proletarian_dictatorship;Turkish Socialist Republic;;;;;;;x
TUR_proletarian_dictatorship_ADJ;Turkish;;;;;;;x
TUR_reactionary;Nizam-i Alem;;;;;;;x
TUR_reactionary_2;Ittihad-i Muhammedi Firkasi;;;;;;;x
TUR_reactionary_3;Halâskâr Zabitân;;;;;;;x
TUR_reactionary_4;Fedailer Cemiyeti;;;;;;;x
TUR_conservative;Hükumet-i Hümayun;;;;;;;x
TUR_conservative_2;Selamet-i Osmaniye;;;;;;;x
TUR_conservative_3;Hürriyet ve Itilâf Firkasi;;;;;;;x
TUR_liberal_2;Tanzimat Firkasi;;;;;;;x
TUR_liberal_4;Osmanli Demokrat Firkasi;;;;;;;x
TUR_liberal_5;Halk Firkasi;;;;;;;x
TUR_socialist;Osmanli Köylü ve Amele Firkasi;;;;;;;x
TUR_socialist_3;Sosyalist Firka;;;;;;;x
TUR_communist;Ihtilalci Avam Firkasi;;;;;;;x
TUR_communist_2;Komünist Firka;;;;;;;x
TUR_communist_3;Halk Istirakiyun Firkasi;;;;;;;x
TUR_liberal;Ittihat ve Terakki Firkasi;;;;;;;x
TUR_liberal_3;Yeni Osmanlilar Cemiyeti;;;;;;;x
TUR_socialist_2;Osmanli Ahali Firkasi;;;;;;;x
TUR_anarcho_liberal;Osmanli Ahrar Firkasi;;;;;;;x
TUR_fascist;Ittihat ve Terakki Firkasi;;;;;;;x
TUR_fascist_2;Türk Ocagi;;;;;;;x
TUR_fascist_3;Milli Firka;;;;;;;x
TUS_reactionary;Restaurazionisti;Restaurazionisti;Restaurazionisti;;Restaurazionis ti;;;;;;;x
TUS_conservative;Moderati ;Moderati ;Moderati;;Moderati ;;;;;;;x
TUS_liberal;Riformisti ;Riformisti ;Riformisti;;Riformisti ;;;;;;;x
TUS_liberal_2;Liberali;Liberali;Liberali;;Liberali ;;;;;;;x
TUS_socialist;Socialisti;Socialisti;Socialisti;;Socialisti;;;;;;;x x
TUS_conservative_2;Popolari;Popolari;Popolari;;Pop olari;;;;;;;x
TUS_anarcho_liberal;Radicali;Radicali;Radicali;;Radicali;;;;;;;x
TUS_communist;Comunisti;Comunisti;Comunisti;;Comunisti;;;;;;;x
TUS_fascist;Fascisti;Fascisti;Fascisti;;Fascisti;;;;;;;x
USA;The United States of America;;;;;;;x
USA_bourgeois_dictatorship;The United States of America;;;;;;;x
USA_absolute_monarchy;The American Empire;;;;;;;x
USA_prussian_constitutionalism;The American Empire;;;;;;;x
USA_hms_government;The Kingdom of America;;;;;;;x
USA_proletarian_dictatorship;The People's Republic of America;;;;;;;x
VEN_democracy;The Republic of San Marco;;;;;;;x
VEN_presidential_dictatorship;The Republic of San Marco;;;;;;;x
VEN_reactionary;Monarchici;Monarchici;Monarchici;;Monarchici;;;;;;;x
VEN_liberal;Intransigenti;Intransigenti;Intransige nti;;Intransigenti;;;;;;;x
VEN_conservative;Transigenti;Transigenti;Transigen ti;;Transigenti;;;;;;;x
VEN_socialist;Socialisti;Socialisti;Socialisti;;So cialisti;;;;;;;x
VEN_communist;Rivoluzionari;Rivoluzionari;Rivoluzionari;;Rivoluzio nari;;;;;;;x
VEN_reactionary_2;Cattolici;Cattolici;Cattolici;;C attolici;;;;;;;x
VEN_anarcho_liberal;Radicali;Radicali;Radicali;;Radicali;;;;;;;x
VEN_fascist;Fascisti;Fascisti;Fascisti;;Fascisti;;;;;;;x
WES;Westfalen;;;;;;;x
WES_ADJ;Westphalian ;;;;;;;x
WES_liberal;Liberaldem. Partei;Liberaldem. Partei;Liberaldem. Partei;;;;;;;x
WES_conservative;Zentrumspartei;Zentrumspartei;Zentrumspartei;;;;;;;x
WES_liberal_2;Nationalliberale ;Nationalliberale ;Nationalliberale ;;;;;;;x
WES_liberal_3;Freisinnige Partei;Freisinnige Partei;Freisinnige Partei;;;;;;;x
WES_socialist;Deutscher Arbeiterverein;Deutscher Arbeiterverein;Deutscher Arbeiterverein;;;;;;;x
WES_socialist_2;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;Sozialdem. Arbeiterpartei ;;;;;;;x
WES_socialist_3;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;Sozial. Arbeiterpartei ;;;;;;;x
WES_reactionary;Nationale Partei;Nationale Partei;Nationale Partei;;;;;;;x
WES_conservative_2;Konservative Partei;Konservative Partei;Konservative Partei;;;;;;;x
WES_conservative_3;Christsoz. Arbeiterpartei;Christsoz. Arbeiterpartei;Christsoz. Arbeiterpartei;;;;;;;x
WES_anarcho_liberal;Radical Arbeiterpartei;Arbeiterpartei radical;Radikale Arbeiterpartei;;;;;;;x
WES_communist;Communist Arbeiterpartei;Arbeiterpartei communiste;Kommunistische Arbeiterpartei;;;;;;;x
WES_fascist;NSDP;NSDP;NSDP;;;;;;;x
XBI_ADJ;Qinghai;;;;;;;x
XBI_presidential_dictatorship;Ma Clique;;;;;;;x
XBI_presidential_dictatorship_ADJ;Hui;;;;;;;x
XBI_reactionary_2;Confucianist Faction;;;;;;;x
XBI_conservative_2;Amban Faction;;;;;;;x
XBI_liberal_2;Reformer Faction;;;;;;;x
XIN_presidential_dictatorship;Xinjiang Clique;Clique de Xinjiang;Xinjiang-Clique;;;;;;;x
YNN_presidential_dictatorship;Yunnan Clique;Clique de Yunnan;Yunnan-Clique;;;;;;;x
### African Kingdoms ###;;;;;;;x
DEN_absolute_monarchy;Denmark-Norway;;;;;;;x
DEN_prussian_constitutionalism;Denmark-Norway;;;;;;;x
DEN_hms_government;Denmark-Norway;;;;;;;x
DEN;Denmark-Norway;;;;;;;x
